"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"microsoft.recoveryservices/vaults/backupfabrics/protectioncontainers/protecteditems","Backup Item","Backup Items","backup item","backup items","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recoveryservices/vaults/backupfabrics/protectioncontainers/protecteditems.svg",""
"microsoft.recoveryservicesbvtd/vaults","Recovery Services BVTD","Recovery Services BVTD","Recovery Services BVTD","Recovery Services BVTD","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recoveryservicesbvtd/vaults.svg",""
"microsoft.recoveryservicesbvtd2/vaults","Recovery Services BVTD2","Recovery Services BVTD2","Recovery Services BVTD2","Recovery Services BVTD2","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recoveryservicesbvtd2/vaults.svg",""
"microsoft.recoveryservicesintd/vaults","Recovery Services INTD","Recovery Services INTD","Recovery Services INTD","Recovery Services INTD","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recoveryservicesintd/vaults.svg",""
"microsoft.recoveryservicesintd2/vaults","Recovery Services INTD2","Recovery Services INTD2","Recovery Services INTD2","Recovery Services INTD2","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.recoveryservicesintd2/vaults.svg",""
"microsoft.redhatopenshift/openshiftclusters","Azure Red Hat OpenShift cluster","Azure Red Hat OpenShift clusters","azure red hat openshift cluster","azure red hat openshift clusters","false","Azure Red Hat OpenShift provides highly available, fully managed OpenShift clusters on demand, monitored and operated jointly by Microsoft and Red Hat.","https://microsoft.github.io/finops-toolkit/svg/microsoft.redhatopenshift/openshiftclusters.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2225479""}]"
"microsoft.relationships/dependencyof","Dependency Relationship","Dependency Relationships","dependency relationship","dependency relationships","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.relationships/dependencyof.svg",""
"microsoft.relationships/servicegroupmember","Service group member relationship","Service group members relationships","service group members relationship","service group members relationships","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.relationships/servicegroupmember.svg",""
"microsoft.relationships/servicegrouprelationships","Connected Resource","Connected Resources","connected resource","connected resources","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.relationships/servicegrouprelationships.svg",""
"microsoft.relay/namespaces","Relay","Relays","relay","relays","false","Azure Relay namespaces serve as scoping containers for all components, allowing for multiple relays within a single namespace and often serving as application containers.","https://microsoft.github.io/finops-toolkit/svg/microsoft.relay/namespaces.svg",""
"microsoft.relay/namespaces/hybridconnections","Hybrid connection","Hybrid connections","hybrid connection","hybrid connections","false","Hybrid Connections, one of the two capabilities of the Relay service, uses WebSocket's or HTTP(S) for secure and reliable communication, facilitating data transfer between network applications through various communication streams without requiring changes to existing security infrastructure.","https://microsoft.github.io/finops-toolkit/svg/microsoft.relay/namespaces/hybridconnections.svg",""
"microsoft.relay/namespaces/wcfrelays","WCF relay","WCF relays","wcf relay","wcf relays","false","The WCF Relay, which is the other capability of the Azure Relay Service, uses HTTP(S) and TCP protocols to work with the full .NET Framework and establish a connection between on-premises services and the relay service through relay bindings that map to transport binding elements designed for WCF channel components to integrate with the Service Bus Service.","https://microsoft.github.io/finops-toolkit/svg/microsoft.relay/namespaces/wcfrelays.svg",""
"microsoft.resilience/resiliencestates","Microsoft.Resilience resilience state","Microsoft.Resilience resilience states","microsoft.resilience resilience state","microsoft.resilience resilience states","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resilience/resiliencestates.svg",""
"microsoft.resourceconnector/appliances","Resource bridge","Resource bridges","Resource bridge","Resource bridges","false","Resource bridge is a packaged virtual machine which has a built-in Kubernetes management cluster, which requries no user management. This virtual appliance helps customers enable VM self-serving on-prem from Azure without the customer creating and managing a Kubernetes cluster from scratch.","https://microsoft.github.io/finops-toolkit/svg/microsoft.resourceconnector/appliances.svg","[{""title"":""Learn more about resource bridge"",""uri"":""https://aka.ms/arcresourcebridge""}]"
"microsoft.resourcegraph/queries","Resource Graph query","Resource Graph queries","resource graph query","resource graph queries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resourcegraph/queries.svg",""
"microsoft.resourcehealth/availabilitystatuses","Microsoft.ResourceHealth availability statuse","Microsoft.ResourceHealth availability statuses","microsoft.resourcehealth availability statuse","microsoft.resourcehealth availability statuses","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resourcehealth/availabilitystatuses.svg",""
"microsoft.resourcehealth/childavailabilitystatuses","Microsoft.ResourceHealth child availability statuse","Microsoft.ResourceHealth child availability statuses","microsoft.resourcehealth child availability statuse","microsoft.resourcehealth child availability statuses","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resourcehealth/childavailabilitystatuses.svg",""
"microsoft.resourcehealth/emergingissues","Microsoft.ResourceHealth emerging issue","Microsoft.ResourceHealth emerging issues","microsoft.resourcehealth emerging issue","microsoft.resourcehealth emerging issues","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resourcehealth/emergingissues.svg",""
"microsoft.resourcehealth/events","Microsoft.ResourceHealth event","Microsoft.ResourceHealth events","microsoft.resourcehealth event","microsoft.resourcehealth events","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resourcehealth/events.svg",""
"microsoft.resourcehealth/events/impactedresources","Microsoft.ResourceHealth events impacted resource","Microsoft.ResourceHealth events impacted resources","microsoft.resourcehealth events impacted resource","microsoft.resourcehealth events impacted resources","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resourcehealth/events/impactedresources.svg",""
"microsoft.resourcehealth/metadata","Microsoft.ResourceHealth metadata","Microsoft.ResourceHealth metadata","microsoft.resourcehealth metadata","microsoft.resourcehealth metadata","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resourcehealth/metadata.svg",""
"microsoft.resources/builtintemplatespecs","Built-in template spec","Built-in template specs","built-in template spec","built-in template specs","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/builtintemplatespecs.svg",""
"microsoft.resources/changes","Microsoft.Resources change","Microsoft.Resources changes","microsoft.resources change","microsoft.resources changes","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/changes.svg",""
"microsoft.resources/databoundaries","Microsoft.Resources data boundary","Microsoft.Resources data boundaries","microsoft.resources data boundary","microsoft.resources data boundaries","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/databoundaries.svg",""
"microsoft.resources/deletedresources","Recycle Bin","Recycle Bin","Recycle Bin","Recycle Bin","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/deletedresources.svg",""
"microsoft.resources/deployments","Microsoft.Resources deployment","Microsoft.Resources deployments","microsoft.resources deployment","microsoft.resources deployments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/deployments.svg",""
"microsoft.resources/deployments/operations","Microsoft.Resources deployments operation","Microsoft.Resources deployments operations","microsoft.resources deployments operation","microsoft.resources deployments operations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/deployments/operations.svg",""
"microsoft.resources/deploymentscripts","Deployment Script","Deployment Scripts","deployment script","deployment scripts","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/deploymentscripts.svg",""
"microsoft.resources/deploymentstacks","Deployment stack","Deployment stacks","deployment stack","deployment stacks","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/deploymentstacks.svg",""
"microsoft.resources/mobobrokers","Microsoft.Resources mobo broker","Microsoft.Resources mobo brokers","microsoft.resources mobo broker","microsoft.resources mobo brokers","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/mobobrokers.svg",""
"microsoft.resources/resourcechange","Change Analysis","Change Analysis","Change Analysis","Change Analysis","false","View changes in all resources under selected subscriptions to mitigate and diagnose Azure application issues and to monitor Azure resources.","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/resourcechange.svg",""
"microsoft.resources/resourcechanges","Resource change","Resource changes","resource change","resource changes","false","Resource changes","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/resourcechanges.svg",""
"microsoft.resources/resourcegraphvisualizer","Resource Graph Visualizer","Resource Graph Visualizer","resource graph visualizer","resource graph visualizer","false","Consistent experiences across Azure enable users to leverage a few well-known and researched design patterns throughout Azure.","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/resourcegraphvisualizer.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2189664""}]"
"microsoft.resources/resourcegroups","Microsoft.Resources resource group","Microsoft.Resources resource groups","microsoft.resources resource group","microsoft.resources resource groups","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/resourcegroups.svg",""
"microsoft.resources/resources","Resource","Resources","resource","resources","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/resources.svg",""
"microsoft.resources/snapshots","Microsoft.Resources snapshot","Microsoft.Resources snapshots","microsoft.resources snapshot","microsoft.resources snapshots","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.resources/snapshots.svg",""
